Sample;Screen;Total;Al2O3;BaO;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;P2O5;SO3;SiO2;SrO;TiO2
Sample 2;+6.7mm;99.61;2.26;0.01;0.56;0.01;1.94;0.32;0.31;0.02;0.34;0.02;0.01;93.23;0.01;0.09
Sample 2;6.7x4.75mm;99.53;3.14;0.02;0.6;0.01;2.31;0.56;0.22;0.02;0.49;0.03;0.01;91.53;0.01;0.08
Sample 2;4.5x3.35mm;99.57;4.16;0.03;0.56;0.01;2.27;0.96;0.1;0.01;0.73;0.02;0.01;90.12;0.01;0.06
Sample 2;3.35x2.36mm;99.51;3.98;0.03;0.48;0.01;1.85;1.07;0.06;0.01;0.7;0.02;0.01;90.8;0.01;0.04
Sample 2;2.36x1.7mm;99.51;3.89;0.03;0.45;0.01;1.11;1.12;0.06;0.01;0.71;0.02;0.01;91.69;0.01;0.04
Sample 2;1.7x1.18mm;99.47;3.7;0.03;0.36;0.01;0.89;1.13;0.06;0.01;0.69;0.02;0.01;92.18;0.01;0.03
Sample 2;1.18mmx850um;100.35;3.64;0.03;0.35;0.01;0.8;1.15;0.06;0.01;0.61;0.01;0.01;93.31;0.01;0.04
Sample 2;850x600um;99.82;3.91;0.03;0.4;0.01;0.98;1.12;0.11;0.02;0.64;0.02;0.01;92.17;0.01;0.06
Sample 2;600x425um;100.1;3.85;0.03;0.4;0.01;0.77;1.1;0.09;0.02;0.65;0.01;0.01;92.81;0.01;0.07
Sample 2;425x300um;100.1;4.28;0.03;0.46;0.01;1.95;0.96;0.21;0.06;0.6;0.03;0.01;90.68;0.01;0.57
Sample 2;300x212um;99.01;4.89;0.02;0.5;0.01;3.27;0.9;0.31;0.12;0.59;0.12;0.01;86.2;0.01;1.75
Sample 2;212x106um;98.89;5.87;0.03;0.57;0.01;4.37;1.07;0.4;0.15;0.67;0.33;0.01;81.32;0.01;3.19
Sample 2;106x75um;99.15;7.29;0.04;0.64;0.01;3.14;1.44;0.45;0.07;0.94;0.23;0.05;80.69;0.01;1.89
Sample 2;75x53um;99.33;7.7;0.04;0.68;0.01;2.81;1.53;0.49;0.05;1.07;0.14;0.14;81.12;0.01;1.3
Sample 2;53x38um;99.2;7.75;0.04;0.65;0.01;2.63;1.45;0.45;0.04;1.15;0.08;0.12;81.76;0.01;0.94
Sample 2;-38um;99.37;19.95;0.08;0.63;0.01;6.58;3.47;1.29;0.07;0.65;0.09;0.14;58.03;0.01;0.77
Sample 3;+6.7mm;99.84;2.97;0.02;0.33;0.01;2.06;0.57;0.14;0.01;0.41;0.02;0.01;92.62;0.01;0.09
Sample 3;6.7x4.75mm;99.84;3.93;0.03;0.45;0.01;1.59;1.08;0.07;0.01;0.68;0.02;0.01;91.45;0.01;0.05
Sample 3;4.5x3.35mm;100.15;4.34;0.04;0.49;0.01;1.55;1.18;0.08;0.01;0.79;0.02;0.01;91.13;0.01;0.05
Sample 3;3.35x2.36mm;99.58;3.98;0.03;0.41;0.01;1.46;1.15;0.06;0.01;0.72;0.02;0.01;91.29;0.01;0.04
Sample 3;2.36x1.7mm;99.71;3.76;0.03;0.36;0.01;0.97;1.19;0.04;0.01;0.68;0.02;0.01;92.32;0.01;0.03
Sample 3;1.7x1.18mm;99.69;3.62;0.03;0.33;0.01;0.81;1.13;0.04;0.01;0.65;0.02;0.01;92.67;0.01;0.03
Sample 3;1.18mmx850um;100.35;3.57;0.03;0.34;0.01;0.77;1.11;0.06;0.01;0.63;0.01;0.01;93.41;0.01;0.04
Sample 3;850x600um;99.98;3.91;0.03;0.4;0.01;1.3;1.02;0.14;0.03;0.63;0.02;0.01;92.14;0.01;0.09
Sample 3;600x425um;100.25;4.95;0.03;0.51;0.01;2.83;0.96;0.33;0.1;0.61;0.02;0.01;89.12;0.01;0.45
Sample 3;425x300um;100.1;5.66;0.03;0.58;0.01;4.42;0.85;0.47;0.19;0.53;0.04;0.01;85.48;0.01;1.59
Sample 3;300x212um;99.04;6.16;0.02;0.59;0.01;6.41;0.82;0.53;0.25;0.52;0.29;0.01;78.33;0.01;4.49
Sample 3;212x106um;97.16;6.02;0.02;0.6;0.01;8.74;0.82;0.56;0.33;0.52;0.86;0.01;69.47;0.01;8.05
Sample 3;106x75um;99.65;5.7;0.02;0.48;0.01;4.89;1.04;0.41;0.16;0.78;0.89;0.01;74.61;0.01;5.08
Sample 3;75x53um;98.56;6.28;0.03;0.48;0.01;2.94;1.13;0.4;0.09;0.89;0.47;0.02;79.72;0.01;2.63
Sample 3;53x38um;99.36;6.6;0.02;0.51;0.01;2.42;1.12;0.38;0.06;0.93;0.23;0.02;82.16;0.01;1.88
Sample 3;-38um;99.07;16.91;0.06;0.45;0.01;4.8;2.82;1.02;0.03;0.73;0.08;0.04;64.88;0.01;0.97